FINAL HEAT OF FORMATION =      -849.7746243361  time =       0.0000000000
  6        1.5492317402      -0.4476458697       0.5281582895
  6        0.2236104564      -1.1647211942      -0.0089285734
  6       -0.9103834673      -0.9753989900      -0.0004692584
  6       -0.5294036240       0.5718157627       0.0936975777
  6       -1.5399852016       0.8250142054       0.0261993751
  6        2.6502641113       0.8673903444      -0.1698635188
  1       -1.3949523117       0.3488443969      -0.1027352878
  1       -0.2891757007       0.7228012473      -0.1304761403
  1        0.5657850650      -0.2030731394      -0.1664290250
  1       -0.2807739705      -0.2883325079       0.1854416622
  1       -0.2428959383       0.1751631997      -0.1697880552
  1        0.1986788412      -0.4318574554      -0.0848070456
FINAL HEAT OF FORMATION =      -849.7746288458  time =       0.1000000000
  6        1.4544286193      -0.3642911350       0.5282826256
  6        0.1517971109      -1.1267375495       0.0024702986
  6       -0.8131404527      -0.8922316814       0.0011118590
  6       -0.5339647480       0.4988607429       0.0906460285
  6       -1.4639333763       0.8808360130       0.0217540013
  6        2.6760221541       0.8735386920      -0.1700945793
  1       -1.3029882917       0.3291642161      -0.1008913388
  1       -0.2624459579       0.6493635845      -0.1419513118
  1        0.5142414568      -0.2722954104      -0.1714442406
  1       -0.3475601824      -0.2811938367       0.1919693637
  1       -0.2332456157       0.1680755923      -0.1682261055
  1        0.1607892837      -0.4630892279      -0.0836266008
FINAL HEAT OF FORMATION =      -849.7746327459  time =       0.2000000000
  6        1.3548261384      -0.2794374208       0.5283097986
  6        0.0785686334      -1.0864603475       0.0141971928
  6       -0.7151537025      -0.8093380153       0.0024483953
  6       -0.5391927189       0.4263033864       0.0877447484
  6       -1.3873960736       0.9360730422       0.0172664825
  6        2.6995754432       0.8783249097      -0.1702599937
  1       -1.2063192847       0.3083694606      -0.0990026934
  1       -0.2349151673       0.5739744482      -0.1537794740
  1        0.4626398071      -0.3409637115      -0.1761865784
  1       -0.4129263600      -0.2740288265       0.1983037499
  1       -0.2233350429       0.1605048854      -0.1665835039
  1        0.1236283278      -0.4933218110      -0.0824581239
FINAL HEAT OF FORMATION =      -849.7746359626  time =       0.3000000000
  6        1.2509228888      -0.1934796208       0.5282515900
  6        0.0043415236      -1.0441261962       0.0261857789
  6       -0.6168232565      -0.7268305344       0.0035316861
  6       -0.5452754257       0.3539617017       0.0850038671
  6       -1.3101756497       0.9907489380       0.0127322499
  6        2.7206207580       0.8817908306      -0.1703371666
  1       -1.1055197329       0.2865545194      -0.0970799348
  1       -0.2067207172       0.4969865020      -0.1659006861
  1        0.4111628336      -0.4088192296      -0.1806330574
  1       -0.4766844661      -0.2668541021       0.2044247787
  1       -0.2131869192       0.1524816156      -0.1648694226
  1        0.0873381634      -0.5224144242      -0.0813096832
FINAL HEAT OF FORMATION =      -849.7746384647  time =       0.4000000000
  6        1.1432962443      -0.1065361994       0.5281261943
  6       -0.0707337344      -1.0000755672       0.0383975065
  6       -0.5183316398      -0.6450109558       0.0043306487
  6       -0.5523302722       0.2819731577       0.0824399695
  6       -1.2323707157       1.0447573286       0.0081635907
  6        2.7390786137       0.8838026542      -0.1703115267
  1       -1.0011767275       0.2638146075      -0.0951455235
  1       -0.1780011174       0.4187550524      -0.1782703147
  1        0.3599863330      -0.4756079914      -0.1847529272
  1       -0.5386577930      -0.2596933741       0.2103132788
  1       -0.2028152670       0.1440430180      -0.1630870832
  1        0.0520560761      -0.5502217304      -0.0802038134
FINAL HEAT OF FORMATION =      -849.7746402248  time =       0.5000000000
  6        1.0325096023      -0.0187733598       0.5279492958
  6       -0.1464643820      -0.9546267945       0.0507858964
  6       -0.4198862440      -0.5641319438       0.0048227164
  6       -0.5604769377       0.2104180519       0.0800670934
  6       -1.1540282561       1.0980169458       0.0035681538
  6        2.7548386807       0.8842575534      -0.1701660750
  1       -0.8938751181       0.2402486958      -0.0932168571
  1       -0.1488922798       0.3396281094      -0.1908393312
  1        0.3092765057      -0.5410933097      -0.1885220307
  1       -0.5986808442      -0.2525677638       0.2159516215
  1       -0.1922369997       0.1352264398      -0.1612409917
  1        0.0179162729      -0.5766026245      -0.0791594916
FINAL HEAT OF FORMATION =      -849.7746412293  time =       0.6000000000
  6        0.9191221970       0.0696406754       0.5277344490
  6       -0.2226593221      -0.9080910583       0.0633052872
  6       -0.3216871596      -0.4844310570       0.0049883395
  6       -0.5698253984       0.1393744933       0.0778984539
  6       -1.0751939241       1.1504470825      -0.0010463639
  6        2.7677947054       0.8830570666      -0.1698844008
  1       -0.7841945604       0.2159574153      -0.0913097347
  1       -0.1195269763       0.2599455340      -0.2035585094
  1        0.2591902000      -0.6050537200      -0.1919195332
  1       -0.6565993653      -0.2454977994       0.2213234478
  1       -0.1814694430       0.1260705338      -0.1593357164
  1       -0.0149509531      -0.6014191660      -0.0781957192
FINAL HEAT OF FORMATION =      -849.7746414779  time =       0.7000000000
  6        0.8036825685       0.1585363441       0.5274944108
  6       -0.2991293915      -0.8607713236       0.0759092842
  6       -0.2239257002      -0.4061314414       0.0048113709
  6       -0.5804779564       0.0689192241       0.0759454108
  6       -0.9959121057       1.2019672653      -0.0056717324
  6        2.7778478184       0.8801079412      -0.1694502023
  1       -0.6727039290       0.1910427032      -0.0894382695
  1       -0.0900346881       0.1800379885      -0.2163787394
  1        0.2098748215      -0.6672830699      -0.1949276136
  1       -0.7122699794      -0.2385031950       0.2264138295
  1       -0.1705304999       0.1166159256      -0.1573760096
  1       -0.0464209582      -0.6245383621      -0.0773317395
FINAL HEAT OF FORMATION =      -849.7746409832  time =       0.8000000000
  6        0.6867268247       0.2477451959       0.5272402754
  6       -0.3756901332      -0.8129599980       0.0885524507
  6       -0.1267846539      -0.3294411854       0.0042783563
  6       -0.5925266171      -0.0008724523       0.0742186685
  6       -0.9162279317       1.2524979489      -0.0103003943
  6        2.7849063580       0.8753217413      -0.1688470519
  1       -0.5599583104       0.1656066140      -0.0876150750
  1       -0.0605405832       0.1002242196      -0.2292515924
  1        0.1614684593      -0.7275904965      -0.1975315218
  1       -0.7655601366      -0.2316030780       0.2312090754
  1       -0.1594383767       0.1069038851      -0.1553665618
  1       -0.0763748991      -0.6458323945      -0.0765866293
FINAL HEAT OF FORMATION =      -849.7746397701  time =       0.9000000000
  6        0.5687722560       0.3370972852       0.5269816308
  6       -0.4521581118      -0.7649382869       0.1011908486
  6       -0.0304393843      -0.2545522593       0.0033776422
  6       -0.6060566271      -0.0699291371       0.0727282039
  6       -0.8361824424       1.3019609710      -0.0149249599
  6        2.7888844194       0.8686188986      -0.1680592190
  1       -0.4464940500       0.1397506220      -0.0858510043
  1       -0.0311652042       0.0208110098      -0.2421292886
  1        0.1140997004      -0.7858006612      -0.1997193224
  1       -0.8163475909      -0.2248157671       0.2356968480
  1       -0.1482118019       0.0969772462      -0.1533122611
  1       -0.1047011631      -0.6651799211      -0.0759791181
FINAL HEAT OF FORMATION =      -849.7746378739  time =       1.0000000000
  6        0.4503172102       0.4264260571       0.5267269323
  6       -0.5283563072      -0.7169743794       0.1137810672
  6        0.0649432179      -0.1816436042       0.0021010189
  6       -0.6211438421      -0.1381789794       0.0714825541
  6       -0.7558192250       1.3502785343      -0.0195375254
  6        2.7897068575       0.8599260672      -0.1670719527
  1       -0.3328264782       0.1135748380      -0.0841554431
  1       -0.0020238726      -0.0579091179      -0.2549653024
  1        0.0678882577      -0.8417527020      -0.2014818750
  1       -0.8645201821      -0.2181591412       0.2398660239
  1       -0.1368696527       0.0868794265      -0.1512179151
  1       -0.1312959834      -0.6824669991      -0.0755275829
FINAL HEAT OF FORMATION =      -849.7746353396  time =       1.1000000000
  6        0.3318351025       0.5155633049       0.5264833511
  6       -0.6041082043      -0.6693225689       0.1262811082
  6        0.1592015852      -0.1108762593       0.0004421494
  6       -0.6378582498      -0.2055573747       0.0704894338
  6       -0.6751757260       1.3973760655      -0.0241310047
  6        2.7873040729       0.8491810908      -0.1658704010
  1       -0.2194464421       0.0871773536      -0.0825362083
  1        0.0267735520      -0.1356578159      -0.2677142783
  1        0.0229447001      -0.8953004211      -0.2028125712
  1       -0.9099751062      -0.2116503366       0.2437066380
  1       -0.1254311577       0.0766548816      -0.1490884192
  1       -0.1560641267      -0.6975879199      -0.0752497979
FINAL HEAT OF FORMATION =      -849.7746322214  time =       1.2000000000
  6        0.2137754898       0.6043469201       0.5262570832
  6       -0.6792457441      -0.6222242641       0.1386510666
  6        0.2521838915      -0.0423999724      -0.0016031771
  6       -0.6562606654      -0.2719976067       0.0697557097
  6       -0.5942927075       1.4431782196      -0.0286981336
  6        2.7816188624       0.8363299138      -0.1644415724
  1       -0.1068187732       0.0606537043      -0.0809997762
  1        0.0551231230      -0.2121721538      -0.2803325869
  1       -0.0206288322      -0.9463114332      -0.2037072164
  1       -0.9526191915      -0.2053058599       0.2472100191
  1       -0.1139156551       0.0663487496      -0.1469286743
  1       -0.1789197976      -0.7104462172      -0.0751627416
FINAL HEAT OF FORMATION =      -849.7746285807  time =       1.3000000000
  6        0.0965605569       0.6926119944       0.5260526263
  6       -0.7536006139      -0.5759036883       0.1508524754
  6        0.3437412390       0.0236525359      -0.0040372825
  6       -0.6764066809      -0.3374415076       0.0692875188
  6       -0.5132045491       1.4876142460      -0.0332320074
  6        2.7726005634       0.8213318274      -0.1627725741
  1        0.0046191300       0.0340964026      -0.0795512118
  1        0.0829266720      -0.2872046179      -0.2927781793
  1       -0.0627383920      -0.9946667070      -0.2041637734
  1       -0.9923678916      -0.1991415985       0.2503684622
  1       -0.1023426794       0.0560065365      -0.1447435807
  1       -0.1997873542      -0.7209554236      -0.0752824736
FINAL HEAT OF FORMATION =      -849.7746244840  time =       1.4000000000
  6       -0.0194130934       0.7802078521       0.5258742766
  6       -0.8270194547      -0.5305750834       0.1628487034
  6        0.4337395385       0.0871555876      -0.0068602590
  6       -0.6983435723      -0.4018228701       0.0690896798
  6       -0.4319546179       1.5306106649      -0.0377253571
  6        2.7602162902       0.8041515436      -0.1608526228
  1        0.1144589958       0.0075941295      -0.0781945075
  1        0.1100921478      -0.3605235528      -0.3050111486
  1       -0.1032979409      -1.0402597179      -0.2041823186
  1       -1.0291449255      -0.1931730429       0.2531754681
  1       -0.0907316005       0.0456741163      -0.1425378975
  1       -0.2186017674      -0.7290396269      -0.0756240168
FINAL HEAT OF FORMATION =      -849.7746200007  time =       1.5000000000
  6       -0.1337792099       0.8669807281       0.5257248983
  6       -0.8993470511      -0.4864352814       0.1746055567
  6        0.5220448145       0.1480004617      -0.0100709983
  6       -0.7221128699      -0.4650858321       0.0691664379
  6       -0.3505781914       1.5720994959      -0.0421717816
  6        2.7444392705       0.7847691830      -0.1586716039
  1        0.2223219244      -0.0187680549      -0.0769323933
  1        0.1365336357      -0.4319128941      -0.3169932938
  1       -0.1422288498      -1.0829958803      -0.2037647724
  1       -1.0628821887      -0.1874149547       0.2556254615
  1       -0.0791020243       0.0353974887      -0.1403163199
  1       -0.2353092601      -0.7346344599      -0.0762011911
FINAL HEAT OF FORMATION =      -849.7746152038  time =       1.6000000000
  6       -0.2461989936       0.9527788043       0.5256068807
  6       -0.9704325059      -0.4436649421       0.1860903849
  6        0.6085282731       0.2060905722      -0.0136664635
  6       -0.7477516997      -0.5271783134       0.0695215547
  6       -0.2691079004       1.6120143371      -0.0465649075
  6        2.7252527923       0.7631793970      -0.1562214447
  1        0.3278583263      -0.0449092137      -0.0757666452
  1        0.1621710375      -0.5011725732      -0.3286886254
  1       -0.1794593012      -1.1227917591      -0.2029147668
  1       -1.0935191039      -0.1818815338       0.2577139726
  1       -0.0674734124       0.0252228560      -0.1380836285
  1       -0.2498675120      -0.7376876312      -0.0770263113
FINAL HEAT OF FORMATION =      -849.7746101664  time =       1.7000000000
  6       -0.3563604292       1.0374666344       0.5255217461
  6       -1.0401407300      -0.4024356084       0.1972729358
  6        0.6930752994       0.2613341232      -0.0176426322
  6       -0.7752887470      -0.5880404697       0.0701574638
  6       -0.1875873892       1.6502879268      -0.0508982518
  6        2.7026601757       0.7393817842      -0.1534949536
  1        0.4307482870      -0.0707530357      -0.0746981683
  1        0.1869305413      -0.5681175246      -0.3400632975
