## time(fs)    Temp(current)       Temp(thermostat)
       0.1000000000     196.0701474523       0.0000000000
       0.2000000000     199.3730951221       0.0000000000
       0.3000000000     202.2312412668       0.0000000000
       0.4000000000     204.6098532582       0.0000000000
       0.5000000000     206.4814742921       0.0000000000
       0.6000000000     207.8262143512       0.0000000000
       0.7000000000     208.6319076450       0.0000000000
       0.8000000000     208.8941337058       0.0000000000
       0.9000000000     208.6161067423       0.0000000000
       1.0000000000     207.8084428115       0.0000000000
       1.1000000000     206.4888139122       0.0000000000
       1.2000000000     204.6815012801       0.0000000000
       1.3000000000     202.4168631685       0.0000000000
       1.4000000000     199.7307296953       0.0000000000
       1.5000000000     196.6637394501       0.0000000000
       1.6000000000     193.2606316447       0.0000000000
       1.7000000000     189.5695113781       0.0000000000
       1.8000000000     185.6410960713       0.0000000000
       1.9000000000     181.5279618223       0.0000000000
       2.0000000000     177.2837976543       0.0000000000
       2.1000000000     172.9626771651       0.0000000000
       2.2000000000     168.6183624072       0.0000000000
       2.3000000000     164.3036384725       0.0000000000
       2.4000000000     160.0696939949       0.0000000000
       2.5000000000     155.9655469702       0.0000000000
       2.6000000000     152.0375226058       0.0000000000
       2.7000000000     148.3287829320       0.0000000000
       2.8000000000     144.8789113875       0.0000000000
       2.9000000000     141.7235566435       0.0000000000
       3.0000000000     138.8941434021       0.0000000000
       3.1000000000     136.4176171339       0.0000000000
       3.2000000000     134.3162517974       0.0000000000
       3.3000000000     132.6075220902       0.0000000000
       3.4000000000     131.3040150293       0.0000000000
       3.5000000000     130.4133943171       0.0000000000
       3.6000000000     129.9384112449       0.0000000000
       3.7000000000     129.8769727998       0.0000000000
       3.8000000000     130.2222411153       0.0000000000
       3.9000000000     130.9627837077       0.0000000000
       4.0000000000     132.0827472698       0.0000000000
       4.1000000000     133.5620886902       0.0000000000
       4.2000000000     135.3768530218       0.0000000000
       4.3000000000     137.4994686678       0.0000000000
       4.4000000000     139.8990433944       0.0000000000
       4.5000000000     142.5417356271       0.0000000000
       4.6000000000     145.3911850275       0.0000000000
       4.7000000000     148.4088801345       0.0000000000
       4.8000000000     151.5546228256       0.0000000000
       4.9000000000     154.7870085482       0.0000000000
       5.0000000000     158.0638939153       0.0000000000
       5.1000000000     161.3428739127       0.0000000000
       5.2000000000     164.5818304692       0.0000000000
       5.3000000000     167.7394542647       0.0000000000
       5.4000000000     170.7757214681       0.0000000000
       5.5000000000     173.6524519784       0.0000000000
       5.6000000000     176.3338316852       0.0000000000
       5.7000000000     178.7868963482       0.0000000000
       5.8000000000     180.9819985861       0.0000000000
       5.9000000000     182.8932899347       0.0000000000
       6.0000000000     184.4991394258       0.0000000000
       6.1000000000     185.7825044677       0.0000000000
       6.2000000000     186.7312776664       0.0000000000
       6.3000000000     187.3385512543       0.0000000000
       6.4000000000     187.6028428652       0.0000000000
       6.5000000000     187.5282568233       0.0000000000
       6.6000000000     187.1245401131       0.0000000000
       6.7000000000     186.4070707217       0.0000000000
       6.8000000000     185.3967972483       0.0000000000
       6.9000000000     184.1200480159       0.0000000000
       7.0000000000     182.6082481658       0.0000000000
       7.1000000000     180.8975705958       0.0000000000
       7.2000000000     179.0284614420       0.0000000000
       7.3000000000     177.0451084458       0.0000000000
       7.4000000000     174.9947988961       0.0000000000
       7.5000000000     172.9272287225       0.0000000000
       7.6000000000     170.8937211335       0.0000000000
       7.7000000000     168.9463513591       0.0000000000
       7.8000000000     167.1370734630       0.0000000000
       7.9000000000     165.5167972187       0.0000000000
       8.0000000000     164.1343982129       0.0000000000
       8.1000000000     163.0358496747       0.0000000000
       8.2000000000     162.2632226221       0.0000000000
       8.3000000000     161.8537788186       0.0000000000
       8.4000000000     161.8392215110       0.0000000000
       8.5000000000     162.2448624458       0.0000000000
       8.6000000000     163.0889847879       0.0000000000
       8.7000000000     164.3823125691       0.0000000000
       8.8000000000     166.1275890013       0.0000000000
       8.9000000000     168.3193216348       0.0000000000
       9.0000000000     170.9436750471       0.0000000000
       9.1000000000     173.9785444932       0.0000000000
       9.2000000000     177.3937720622       0.0000000000
       9.3000000000     181.1515391453       0.0000000000
       9.4000000000     185.2069502580       0.0000000000
       9.5000000000     189.5087325889       0.0000000000
       9.6000000000     194.0000835115       0.0000000000
       9.7000000000     198.6196362984       0.0000000000
       9.8000000000     203.3025359938       0.0000000000
       9.9000000000     207.9815903202       0.0000000000
      10.0000000000     212.5884498443       0.0000000000
