## time(fs)    Temp(current)       Temp(thermostat)
       0.1000000000     202.7043246918     300.0000000000
       0.2000000000     219.1311098016     300.0000000000
       0.3000000000     230.3434166705     300.0000000000
       0.4000000000     230.7731854359     300.0000000000
       0.5000000000     232.0071156490     300.0000000000
       0.6000000000     224.8903806057     300.0000000000
       0.7000000000     223.1603387115     300.0000000000
       0.8000000000     216.0998300801     300.0000000000
       0.9000000000     214.0651749355     300.0000000000
       1.0000000000     204.8635470949     300.0000000000
       1.1000000000     211.8052141088     300.0000000000
       1.2000000000     216.3950419463     300.0000000000
       1.3000000000     211.8703996818     300.0000000000
       1.4000000000     200.1020106505     300.0000000000
       1.5000000000     200.6154495173     300.0000000000
       1.6000000000     200.2402330469     300.0000000000
       1.7000000000     196.9390834809     300.0000000000
       1.8000000000     193.1884885089     300.0000000000
       1.9000000000     192.2213947939     300.0000000000
       2.0000000000     186.6190981593     300.0000000000
       2.1000000000     180.7297668689     300.0000000000
       2.2000000000     175.4465519038     300.0000000000
       2.3000000000     175.5414912230     300.0000000000
       2.4000000000     162.4317330222     300.0000000000
       2.5000000000     162.4887760813     300.0000000000
       2.6000000000     160.7232129711     300.0000000000
       2.7000000000     165.3279681981     300.0000000000
       2.8000000000     156.7770156589     300.0000000000
       2.9000000000     148.1094683346     300.0000000000
       3.0000000000     151.2076374618     300.0000000000
       3.1000000000     144.2676663617     300.0000000000
       3.2000000000     139.2743219505     300.0000000000
       3.3000000000     138.5953278506     300.0000000000
       3.4000000000     133.9177634141     300.0000000000
       3.5000000000     130.3628022730     300.0000000000
       3.6000000000     123.7882307780     300.0000000000
       3.7000000000     117.5512519285     300.0000000000
       3.8000000000     121.2030878188     300.0000000000
       3.9000000000     122.5626389457     300.0000000000
       4.0000000000     124.7360160332     300.0000000000
       4.1000000000     123.8665666747     300.0000000000
       4.2000000000     122.2187622862     300.0000000000
       4.3000000000     130.0938285020     300.0000000000
       4.4000000000     140.4471175927     300.0000000000
       4.5000000000     148.9828779665     300.0000000000
       4.6000000000     154.6653813554     300.0000000000
       4.7000000000     164.5985506936     300.0000000000
       4.8000000000     173.9060823453     300.0000000000
       4.9000000000     183.3366138837     300.0000000000
       5.0000000000     182.7081479886     300.0000000000
       5.1000000000     181.7796118352     300.0000000000
       5.2000000000     194.7000558367     300.0000000000
       5.3000000000     197.3234659585     300.0000000000
       5.4000000000     209.4268550415     300.0000000000
       5.5000000000     204.7574241056     300.0000000000
       5.6000000000     206.3086322084     300.0000000000
       5.7000000000     213.8971806038     300.0000000000
       5.8000000000     222.8259314415     300.0000000000
       5.9000000000     232.8340210608     300.0000000000
       6.0000000000     231.9309213715     300.0000000000
       6.1000000000     231.4089640494     300.0000000000
       6.2000000000     231.1663391629     300.0000000000
       6.3000000000     238.9443681285     300.0000000000
       6.4000000000     240.6403984996     300.0000000000
       6.5000000000     245.3795257822     300.0000000000
       6.6000000000     240.1360546838     300.0000000000
       6.7000000000     241.6212556585     300.0000000000
       6.8000000000     232.4143591614     300.0000000000
       6.9000000000     241.2251038854     300.0000000000
       7.0000000000     242.8913257529     300.0000000000
       7.1000000000     232.8144214147     300.0000000000
       7.2000000000     228.1442262760     300.0000000000
       7.3000000000     231.0392637765     300.0000000000
       7.4000000000     230.0526291655     300.0000000000
       7.5000000000     223.5367373575     300.0000000000
       7.6000000000     216.8676425123     300.0000000000
       7.7000000000     218.9599949955     300.0000000000
       7.8000000000     219.0972575623     300.0000000000
       7.9000000000     217.5048189035     300.0000000000
       8.0000000000     216.1231348135     300.0000000000
       8.1000000000     205.5096007487     300.0000000000
       8.2000000000     190.6392518757     300.0000000000
       8.3000000000     194.8499873404     300.0000000000
       8.4000000000     196.4622704027     300.0000000000
       8.5000000000     191.7967601365     300.0000000000
       8.6000000000     187.0895797112     300.0000000000
       8.7000000000     188.0736595262     300.0000000000
       8.8000000000     186.9500107619     300.0000000000
       8.9000000000     190.4402613456     300.0000000000
       9.0000000000     200.7970304822     300.0000000000
       9.1000000000     197.7074138302     300.0000000000
       9.2000000000     197.2293064472     300.0000000000
       9.3000000000     208.3502320082     300.0000000000
       9.4000000000     218.5147021854     300.0000000000
       9.5000000000     221.4255852548     300.0000000000
       9.6000000000     223.3889805513     300.0000000000
       9.7000000000     232.8318599516     300.0000000000
       9.8000000000     239.3302531676     300.0000000000
       9.9000000000     236.2410014681     300.0000000000
      10.0000000000     241.6054028594     300.0000000000
