## time(fs)    Temp(current)       Temp(thermostat)
       0.1000000000     201.8143565974     300.0000000000
       0.2000000000     217.2392950516     300.0000000000
       0.3000000000     227.5708528939     300.0000000000
       0.4000000000     227.7029899561     300.0000000000
       0.5000000000     229.1283679920     300.0000000000
       0.6000000000     221.6878446921     300.0000000000
       0.7000000000     219.6606776662     300.0000000000
       0.8000000000     211.8806820423     300.0000000000
       0.9000000000     209.5167290349     300.0000000000
       1.0000000000     200.6827739007     300.0000000000
       1.1000000000     208.2009452936     300.0000000000
       1.2000000000     213.0195801092     300.0000000000
       1.3000000000     208.1515957475     300.0000000000
       1.4000000000     196.8091694591     300.0000000000
       1.5000000000     198.1807150468     300.0000000000
       1.6000000000     197.0855893612     300.0000000000
       1.7000000000     194.5380516910     300.0000000000
       1.8000000000     191.3580086095     300.0000000000
       1.9000000000     190.0118142683     300.0000000000
       2.0000000000     186.1454231780     300.0000000000
       2.1000000000     180.1847627953     300.0000000000
       2.2000000000     176.6018723160     300.0000000000
       2.3000000000     175.9323818860     300.0000000000
       2.4000000000     162.8791294156     300.0000000000
       2.5000000000     163.2137584093     300.0000000000
       2.6000000000     161.0839419442     300.0000000000
       2.7000000000     164.9602191719     300.0000000000
       2.8000000000     160.2223179384     300.0000000000
       2.9000000000     151.1937715208     300.0000000000
       3.0000000000     154.9048959802     300.0000000000
       3.1000000000     146.5739335887     300.0000000000
       3.2000000000     144.8254339720     300.0000000000
       3.3000000000     145.8153482727     300.0000000000
       3.4000000000     142.5894431123     300.0000000000
       3.5000000000     138.9574050895     300.0000000000
       3.6000000000     134.5528486123     300.0000000000
       3.7000000000     131.0287410372     300.0000000000
       3.8000000000     130.8409810286     300.0000000000
       3.9000000000     130.0477857513     300.0000000000
       4.0000000000     135.2266297678     300.0000000000
       4.1000000000     130.5413929991     300.0000000000
       4.2000000000     127.4417187207     300.0000000000
       4.3000000000     138.0296770460     300.0000000000
       4.4000000000     143.5333996988     300.0000000000
       4.5000000000     154.6828822309     300.0000000000
       4.6000000000     162.4026875637     300.0000000000
       4.7000000000     167.2816797726     300.0000000000
       4.8000000000     174.3889634825     300.0000000000
       4.9000000000     182.1306643319     300.0000000000
       5.0000000000     179.6500171122     300.0000000000
       5.1000000000     178.3464665519     300.0000000000
       5.2000000000     190.2558807382     300.0000000000
       5.3000000000     194.0523519590     300.0000000000
       5.4000000000     208.9693238984     300.0000000000
       5.5000000000     203.4127084508     300.0000000000
       5.6000000000     201.6043268079     300.0000000000
       5.7000000000     209.9239637837     300.0000000000
       5.8000000000     217.7065096398     300.0000000000
       5.9000000000     232.6785081509     300.0000000000
       6.0000000000     235.1921473453     300.0000000000
       6.1000000000     238.5942941790     300.0000000000
       6.2000000000     240.6558740783     300.0000000000
       6.3000000000     249.0647323287     300.0000000000
       6.4000000000     249.5580575512     300.0000000000
       6.5000000000     254.9598048703     300.0000000000
       6.6000000000     247.4851545079     300.0000000000
       6.7000000000     245.5360235520     300.0000000000
       6.8000000000     238.7939788883     300.0000000000
       6.9000000000     247.4437535162     300.0000000000
       7.0000000000     249.0451298636     300.0000000000
       7.1000000000     241.2272593658     300.0000000000
       7.2000000000     236.1491337633     300.0000000000
       7.3000000000     240.5131403898     300.0000000000
       7.4000000000     240.9960692306     300.0000000000
       7.5000000000     237.3214179102     300.0000000000
       7.6000000000     232.1744340469     300.0000000000
       7.7000000000     228.2656805260     300.0000000000
       7.8000000000     232.7983745911     300.0000000000
       7.9000000000     228.6058534562     300.0000000000
       8.0000000000     224.1274952642     300.0000000000
       8.1000000000     213.2830622823     300.0000000000
       8.2000000000     202.6960394861     300.0000000000
       8.3000000000     207.9060739268     300.0000000000
       8.4000000000     207.7270844763     300.0000000000
       8.5000000000     205.3479883084     300.0000000000
       8.6000000000     199.7559332761     300.0000000000
       8.7000000000     201.5689050279     300.0000000000
       8.8000000000     203.5451038181     300.0000000000
       8.9000000000     205.8184184440     300.0000000000
       9.0000000000     218.4157338255     300.0000000000
       9.1000000000     220.4648536684     300.0000000000
       9.2000000000     224.6904606416     300.0000000000
       9.3000000000     229.3537477187     300.0000000000
       9.4000000000     235.0598861503     300.0000000000
       9.5000000000     243.3800164347     300.0000000000
       9.6000000000     243.6845205517     300.0000000000
       9.7000000000     255.4927161797     300.0000000000
       9.8000000000     263.3931926170     300.0000000000
       9.9000000000     264.5805640887     300.0000000000
      10.0000000000     270.7459534422     300.0000000000
