## time(fs)    Temp(current)       Temp(thermostat)
       0.1000000000     202.8489223222     300.0000000000
       0.2000000000     219.4257100223     300.0000000000
       0.3000000000     230.8112042201     300.0000000000
       0.4000000000     231.3808889710     300.0000000000
       0.5000000000     232.7621960743     300.0000000000
       0.6000000000     225.8050056626     300.0000000000
       0.7000000000     224.2195523219     300.0000000000
       0.8000000000     217.2662086105     300.0000000000
       0.9000000000     215.3342242726     300.0000000000
       1.0000000000     206.1585397043     300.0000000000
       1.1000000000     213.2457604684     300.0000000000
       1.2000000000     217.8784479905     300.0000000000
       1.3000000000     213.3132825866     300.0000000000
       1.4000000000     201.5015123659     300.0000000000
       1.5000000000     202.1401482769     300.0000000000
       1.6000000000     201.8385364348     300.0000000000
       1.7000000000     198.6106989206     300.0000000000
       1.8000000000     194.7951715302     300.0000000000
       1.9000000000     193.7405569078     300.0000000000
       2.0000000000     188.1352921427     300.0000000000
       2.1000000000     182.1733258903     300.0000000000
       2.2000000000     176.8278614817     300.0000000000
       2.3000000000     176.9831756043     300.0000000000
       2.4000000000     163.6387589663     300.0000000000
       2.5000000000     163.5276094624     300.0000000000
       2.6000000000     161.7777407728     300.0000000000
       2.7000000000     166.3238915092     300.0000000000
       2.8000000000     157.7264385616     300.0000000000
       2.9000000000     148.9181756396     300.0000000000
       3.0000000000     151.7799845683     300.0000000000
       3.1000000000     144.5756736714     300.0000000000
       3.2000000000     139.4292485260     300.0000000000
       3.3000000000     138.7612635189     300.0000000000
       3.4000000000     133.9944557924     300.0000000000
       3.5000000000     130.1044120727     300.0000000000
       3.6000000000     123.1422606736     300.0000000000
       3.7000000000     116.6811210845     300.0000000000
       3.8000000000     120.1271332807     300.0000000000
       3.9000000000     121.4802129237     300.0000000000
       4.0000000000     123.4532844073     300.0000000000
       4.1000000000     122.5094732918     300.0000000000
       4.2000000000     120.6754535384     300.0000000000
       4.3000000000     128.4668019758     300.0000000000
       4.4000000000     138.6443320998     300.0000000000
       4.5000000000     147.1925224913     300.0000000000
       4.6000000000     152.7926905202     300.0000000000
       4.7000000000     162.5584866285     300.0000000000
       4.8000000000     171.7642172603     300.0000000000
       4.9000000000     181.1120521422     300.0000000000
       5.0000000000     180.4908233118     300.0000000000
       5.1000000000     179.6489367919     300.0000000000
       5.2000000000     192.5979146516     300.0000000000
       5.3000000000     195.3443170845     300.0000000000
       5.4000000000     207.5440638750     300.0000000000
       5.5000000000     202.9808518549     300.0000000000
       5.6000000000     204.7231010270     300.0000000000
       5.7000000000     212.4479371782     300.0000000000
       5.8000000000     221.5560162689     300.0000000000
       5.9000000000     231.8517995714     300.0000000000
       6.0000000000     231.1390931148     300.0000000000
       6.1000000000     230.7765540844     300.0000000000
       6.2000000000     230.7161989004     300.0000000000
       6.3000000000     238.6825836019     300.0000000000
       6.4000000000     240.5192600157     300.0000000000
       6.5000000000     245.5920869254     300.0000000000
       6.6000000000     240.5301983089     300.0000000000
       6.7000000000     242.2241029051     300.0000000000
       6.8000000000     233.1395020266     300.0000000000
       6.9000000000     242.1874493226     300.0000000000
       7.0000000000     243.9932250008     300.0000000000
       7.1000000000     233.9560932984     300.0000000000
       7.2000000000     229.3109589302     300.0000000000
       7.3000000000     232.2922268046     300.0000000000
       7.4000000000     231.4344155286     300.0000000000
       7.5000000000     224.7957731266     300.0000000000
       7.6000000000     218.1942394349     300.0000000000
       7.7000000000     220.1874661419     300.0000000000
       7.8000000000     220.1431460075     300.0000000000
       7.9000000000     218.2487566464     300.0000000000
       8.0000000000     216.8217714394     300.0000000000
       8.1000000000     205.9658126064     300.0000000000
       8.2000000000     190.9468220747     300.0000000000
       8.3000000000     194.9350077369     300.0000000000
       8.4000000000     195.8652670202     300.0000000000
       8.5000000000     191.0645531807     300.0000000000
       8.6000000000     186.0301345041     300.0000000000
       8.7000000000     186.7317332533     300.0000000000
       8.8000000000     185.1513682776     300.0000000000
       8.9000000000     188.4892643896     300.0000000000
       9.0000000000     198.4944037791     300.0000000000
       9.1000000000     195.1384319246     300.0000000000
       9.2000000000     194.4256270951     300.0000000000
       9.3000000000     205.3220034675     300.0000000000
       9.4000000000     215.3083681982     300.0000000000
       9.5000000000     218.0753272872     300.0000000000
       9.6000000000     219.7825360081     300.0000000000
       9.7000000000     229.1243433131     300.0000000000
       9.8000000000     235.5517639430     300.0000000000
       9.9000000000     232.6270350709     300.0000000000
      10.0000000000     238.0935986637     300.0000000000
